DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation
04M435,M435,Manhattan Center for Science and Mathematics,High School,Manhattan,1650,17.678,1.116,18.793,0.757,0.971,0.886,0.863,83.5,78.1,0.201,0.193,0.533,0.058,0.015,377,377,377,1249,96,879,318,332,25,12.1,3.452,3.578,0.974,0.938,0.837,0.068,0.141,0.093,0.628,0.607,0.163,High Graduation
04M495,M495,Park East High School,High School,Manhattan,389,5.837,0.258,6.095,0.777,0.963,0.844,0.872,79.7,77.1,0.067,0.254,0.617,0.026,0.036,109,109,109,302,10,240,99,26,14,14.1,3.029,2.974,0.98,0.943,0.872,0.041,0.18,0.093,0.645,0.813,0.128,High Graduation
04M555,M555,Central Park East High School,High School,Manhattan,508,6.823,0.472,7.295,0.736,1.0,0.885,0.752,88.7,75.2,0.177,0.258,0.494,0.045,0.026,113,113,113,374,23,251,131,90,13,14.1,3.465,3.533,0.976,0.969,0.933,0.018,0.157,0.073,0.61,0.903,0.067,High Graduation
04M610,M610,Young Women's Leadership School,High School,Manhattan,314,5.791,0.286,6.077,0.778,0.986,0.836,0.651,88.6,73.3,0.086,0.239,0.589,0.038,0.048,73,73,73,244,12,185,75,27,15,0.9,3.277,3.176,0.95,0.938,0.796,0.016,0.178,0.054,0.653,0.806,0.204,High Graduation
04M680,M680,"Heritage School, The",High School,Manhattan,313,4.386,0.243,4.629,0.884,0.901,0.465,0.183,67.1,63.7,0.042,0.265,0.649,0.032,0.012,71,71,71,277,10,203,83,13,4,7.7,2.603,2.316,0.959,0.886,0.703,0.07,0.22,0.163,0.802,0.818,0.297,Medium Graduation
05M148,M148,Eagle Academy for Young Men of Harlem,High School,Manhattan,191,6.025,0.368,6.394,0.778,0.836,0.565,0.485,59.5,59.8,0.0,0.733,0.22,0.01,0.037,1,1,1,149,2,42,140,0,7,6.1,2.6,2.242,0.962,0.825,0.412,0.026,0.262,0.094,0.66,0.568,0.588,Medium Graduation
05M157,M157,The Urban Assembly School for Global Commerce,High School,Manhattan,250,4.081,0.193,4.274,0.915,0.739,0.37,0.065,71.7,56.8,0.012,0.492,0.456,0.028,0.012,46,46,46,229,7,114,123,3,3,2.0,2.565,2.274,0.967,0.766,0.341,0.1,0.276,0.144,0.84,0.609,0.659,Low Graduation
05M304,M304,Mott Hall High School,High School,Manhattan,288,4.241,0.325,4.566,0.913,0.636,0.403,0.143,67.4,59.3,0.042,0.344,0.569,0.028,0.017,77,77,77,263,8,164,99,12,5,8.9,2.511,2.266,0.951,0.845,0.611,0.201,0.319,0.24,0.826,0.529,0.389,Low Graduation
05M362,M362,Columbia Secondary School,High School,Manhattan,421,8.97,0.166,9.136,0.51,0.96,0.95,0.905,89.8,74.9,0.102,0.181,0.397,0.264,0.056,100,100,100,215,111,167,76,43,24,7.9,3.77,4.0,0.973,0.924,0.762,0.005,0.133,0.043,0.352,0.796,0.238,High Graduation
05M369,M369,Urban Assembly School for the Performing Arts,High School,Manhattan,387,5.186,0.329,5.515,0.868,0.733,0.307,0.373,68.5,64.5,0.008,0.478,0.475,0.008,0.031,75,75,75,336,3,184,185,3,12,5.0,2.649,2.31,0.962,0.827,0.479,0.075,0.243,0.158,0.783,0.731,0.521,Low Graduation
05M499,M499,Frederick Douglass Academy,High School,Manhattan,981,16.287,0.881,17.168,0.784,0.82,0.611,0.437,75.0,62.8,0.015,0.69,0.261,0.021,0.013,239,239,239,769,21,256,677,15,13,2.0,2.88,2.676,0.964,0.891,0.671,0.047,0.16,0.129,0.664,0.952,0.329,Medium Graduation
05M670,M670,Thurgood Marshall Academy for Learning and Social,High School,Manhattan,386,7.438,0.412,7.851,0.77,0.84,0.543,0.34,74.2,62.7,0.018,0.663,0.293,0.008,0.018,81,81,81,297,3,113,256,7,7,1.2,2.832,2.467,0.952,0.911,0.748,0.039,0.215,0.127,0.619,0.902,0.252,Medium Graduation
05M692,M692,"High School for Mathematics, Science and Engineeri",High School,Manhattan,491,7.445,0.019,7.464,0.398,0.991,0.991,1.0,94.2,92.8,0.297,0.086,0.167,0.301,0.149,106,106,106,195,148,82,42,146,73,7.7,3.991,4.267,0.965,0.952,0.878,0.002,0.055,0.035,0.269,0.935,0.122,High Graduation
06M211,M211,Inwood Early College for Health and Information Te,High School,Manhattan,414,6.681,0.477,7.158,0.823,0.714,0.546,0.588,68.1,66.3,0.005,0.118,0.843,0.014,0.02,98,97,97,341,6,349,49,2,8,5.1,2.794,2.692,0.955,0.822,0.466,0.116,0.256,0.123,0.71,0.697,0.534,Low Graduation
06M293,M293,City College Academy of the Arts,High School,Manhattan,346,7.184,0.434,7.618,0.776,0.946,0.878,0.973,76.6,67.9,0.017,0.049,0.89,0.035,0.009,74,74,74,268,12,308,17,6,3,14.1,3.367,3.453,0.968,0.936,0.815,0.029,0.142,0.084,0.671,0.795,0.185,Medium Graduation
06M346,M346,Community Health Academy of the Heights,High School,Manhattan,435,9.433,0.548,9.982,0.907,0.843,0.657,0.618,73.0,70.9,0.009,0.057,0.915,0.016,0.003,102,102,102,395,7,398,25,4,1,8.2,2.828,2.552,0.987,0.817,0.489,0.179,0.166,0.163,0.802,0.846,0.511,Medium Graduation
06M348,M348,Washington Heights Expeditionary Learning School,High School,Manhattan,381,11.292,0.744,12.036,0.859,0.9,0.764,0.539,75.4,61.3,0.005,0.045,0.942,0.003,0.005,90,89,89,327,1,359,17,2,2,3.9,2.897,2.88,0.977,0.892,0.693,0.094,0.189,0.147,0.761,0.769,0.307,Medium Graduation
06M462,M462,The College Academy,High School,Manhattan,427,7.12,0.45,7.57,0.926,0.73,0.25,0.43,55.2,63.9,0.002,0.066,0.899,0.021,0.012,100,100,100,395,9,384,28,1,5,3.0,2.31,2.176,0.972,0.821,0.482,0.522,0.18,0.302,0.81,0.645,0.518,Low Graduation
06M463,M463,High School for Media and Communications,High School,Manhattan,396,6.725,0.505,7.23,0.928,0.685,0.213,0.287,53.7,63.2,0.008,0.093,0.876,0.013,0.01,89,89,89,367,5,347,37,3,4,4.0,2.46,2.139,0.966,0.899,0.779,0.497,0.177,0.331,0.818,0.741,0.221,Low Graduation
06M467,M467,High School for Law and Public Service,High School,Manhattan,481,8.592,0.66,9.252,0.92,0.55,0.243,0.336,64.6,55.8,0.006,0.139,0.832,0.021,0.002,140,140,140,443,10,400,67,3,1,19.9,2.512,2.304,0.966,0.799,0.393,0.389,0.258,0.27,0.823,0.912,0.607,Low Graduation
06M468,M468,High School for Health Careers and Sciences,High School,Manhattan,423,8.665,0.477,9.141,0.922,0.778,0.321,0.426,64.5,61.3,0.019,0.149,0.811,0.012,0.009,81,81,81,390,5,343,63,8,4,6.5,2.475,2.258,0.962,0.887,0.715,0.411,0.184,0.246,0.811,0.8,0.285,Low Graduation
06M540,M540,A. Philip Randolph Campus High School,High School,Manhattan,1503,17.547,1.244,18.791,0.864,0.835,0.67,0.494,76.3,72.0,0.055,0.277,0.633,0.023,0.012,309,309,309,1299,35,951,416,83,18,7.6,2.851,2.662,0.966,0.857,0.583,0.142,0.156,0.152,0.77,0.884,0.417,Medium Graduation
06M552,M552,Gregorio Luperon High School for Science and Mathe,High School,Manhattan,521,7.121,0.455,7.577,0.986,0.868,0.479,0.715,72.1,63.9,0.0,0.0,1.0,0.0,0.0,144,144,144,514,0,521,0,0,0,2.7,1.996,2.132,0.971,0.915,0.778,0.781,0.023,0.418,0.781,0.8,0.222,Medium Graduation
07X221,X221,South Bronx Preparatory: A College Board School,High School,Bronx,389,10.02,0.953,10.973,0.924,0.944,0.517,0.64,75.0,72.2,0.018,0.257,0.704,0.015,0.006,89,89,89,359,6,274,100,7,2,12.1,2.811,2.559,0.976,0.923,0.796,0.054,0.239,0.111,0.825,0.64,0.204,Medium Graduation
07X223,X223,The Laboratory School of Finance and Technology: X,High School,Bronx,368,8.978,0.732,9.71,0.897,0.882,0.729,0.865,76.4,70.3,0.008,0.185,0.802,0.003,0.002,85,85,85,330,1,295,68,3,1,16.1,3.082,3.239,0.972,0.903,0.701,0.063,0.182,0.109,0.818,0.623,0.299,Medium Graduation
07X259,X259,"H.E.R.O. High (Health, Education, and Research Occ",High School,Bronx,530,7.853,0.486,8.339,0.866,0.745,0.418,0.518,69.4,59.5,0.015,0.389,0.572,0.008,0.016,110,110,110,459,4,303,206,8,8,6.1,2.706,2.454,0.958,0.851,0.587,0.1,0.208,0.192,0.768,0.525,0.413,Low Graduation
07X334,X334,International Community High School,High School,Bronx,425,6.431,0.529,6.96,0.983,0.849,0.429,0.294,66.5,66.49,0.04,0.162,0.753,0.024,0.021,119,119,119,418,10,320,69,17,9,12.6,1.788,1.823,0.967,0.891,0.69,0.814,0.08,0.313,0.765,0.897,0.31,Medium Graduation
07X427,X427,Community School for Social Justice,High School,Bronx,327,5.055,0.477,5.532,0.923,0.718,0.437,0.092,67.9,66.49,0.0,0.229,0.746,0.006,0.019,71,71,71,302,2,244,75,0,6,2.5,2.424,2.134,0.957,0.812,0.451,0.205,0.257,0.205,0.85,0.75,0.549,Low Graduation
07X473,X473,Mott Haven Village Preparatory High School,High School,Bronx,315,5.601,0.516,6.117,0.929,0.506,0.253,0.095,67.1,60.4,0.013,0.251,0.698,0.013,0.025,79,79,79,293,4,220,79,4,8,6.1,2.406,2.063,0.972,0.767,0.397,0.2,0.317,0.162,0.857,0.464,0.603,Low Graduation
07X495,X495,University Heights Secondary School,High School,Bronx,519,6.27,0.445,6.715,0.811,0.99,0.981,0.99,80.6,66.49,0.052,0.256,0.636,0.019,0.037,105,105,105,421,10,330,133,27,19,9.9,3.349,3.305,0.977,0.937,0.817,0.025,0.185,0.073,0.699,0.8,0.183,High Graduation
07X500,X500,Hostos-Lincoln Academy of Science,High School,Bronx,369,7.279,0.611,7.89,0.855,0.882,0.796,0.769,73.8,70.9,0.03,0.228,0.713,0.022,0.007,93,93,93,315,8,263,84,11,3,15.0,3.113,2.852,0.967,0.918,0.737,0.03,0.201,0.1,0.745,0.833,0.263,Medium Graduation
07X522,X522,Bronx Design and Construction Academy,High School,Bronx,452,8.857,0.725,9.582,0.875,0.673,0.316,0.342,66.2,58.9,0.002,0.277,0.681,0.018,0.022,98,98,98,396,8,308,125,1,10,2.7,2.52,2.351,0.965,0.807,0.506,0.168,0.294,0.201,0.774,0.643,0.494,Low Graduation
07X527,X527,Bronx Leadership Academy II High School,High School,Bronx,511,8.665,0.762,9.428,0.922,0.78,0.409,0.303,61.9,59.8,0.008,0.266,0.706,0.012,0.008,132,132,132,471,6,361,136,4,4,4.0,2.527,2.294,0.962,0.853,0.514,0.131,0.278,0.184,0.851,0.578,0.486,Low Graduation
07X548,X548,Careers in Sports High School,High School,Bronx,528,7.483,0.487,7.97,0.888,0.606,0.292,0.172,66.1,61.0,0.004,0.292,0.68,0.021,0.003,137,137,137,469,11,359,154,2,2,8.5,2.562,2.432,0.955,0.822,0.478,0.174,0.25,0.205,0.782,0.892,0.522,Low Graduation
07X551,X551,The Urban Assembly Bronx Academy of Letters,High School,Bronx,336,9.724,0.912,10.636,0.932,0.875,0.388,0.263,69.1,60.7,0.012,0.295,0.664,0.027,0.002,80,80,80,313,9,223,99,4,1,0.9,2.51,2.093,0.992,0.807,0.378,0.119,0.28,0.143,0.845,0.742,0.622,Medium Graduation
07X600,X600,Alfred E. Smith Career and Technical Education Hig,High School,Bronx,455,8.646,0.735,9.381,0.892,0.883,0.33,0.573,74.0,65.8,0.004,0.215,0.754,0.015,0.012,103,103,103,406,7,343,98,2,5,7.1,2.421,2.212,0.965,0.863,0.503,0.193,0.279,0.182,0.804,0.821,0.497,Medium Graduation
07X670,X670,Health Opportunities High School,High School,Bronx,497,7.311,0.557,7.868,0.911,0.599,0.365,0.195,69.5,63.8,0.008,0.374,0.586,0.008,0.024,167,167,167,453,4,291,186,4,12,0.7,2.553,2.261,0.968,0.822,0.471,0.137,0.223,0.213,0.819,0.848,0.529,Low Graduation
08X269,X269,Bronx Studio School for Writers and Artists,High School,Bronx,351,10.979,0.94,11.919,0.906,0.733,0.456,0.228,70.8,66.1,0.009,0.231,0.744,0.014,0.002,90,90,90,318,5,261,81,3,1,1.9,2.692,2.283,0.959,0.853,0.529,0.1,0.248,0.16,0.835,0.709,0.471,Low Graduation
08X282,X282,Women's Academy of Excellence,High School,Bronx,248,4.115,0.365,4.48,0.896,0.656,0.391,0.273,67.3,59.2,0.113,0.371,0.335,0.157,0.024,64,64,64,222,39,83,92,28,6,15.1,2.475,2.172,0.944,0.791,0.417,0.214,0.202,0.23,0.835,0.6,0.583,Low Graduation
08X293,X293,Renaissance High School for Musical Theater and th,High School,Bronx,460,6.316,0.399,6.715,0.802,0.842,0.408,0.3,74.5,63.7,0.037,0.243,0.65,0.063,0.007,120,120,120,369,29,299,112,17,3,11.1,2.628,2.335,0.955,0.833,0.488,0.059,0.23,0.13,0.73,0.563,0.512,Medium Graduation
08X312,X312,Millennium Art Academy,High School,Bronx,422,8.094,0.471,8.565,0.82,0.748,0.33,0.209,69.6,64.4,0.014,0.275,0.673,0.024,0.014,103,103,103,346,10,284,116,6,6,7.1,2.757,2.373,0.966,0.835,0.492,0.066,0.251,0.154,0.725,0.914,0.508,Low Graduation
08X320,X320,Pelham Lab High School,High School,Bronx,475,7.565,0.463,8.028,0.822,0.691,0.336,0.245,69.2,61.3,0.067,0.213,0.619,0.074,0.027,110,110,110,390,35,294,101,32,13,6.1,2.619,2.322,0.966,0.829,0.429,0.156,0.215,0.135,0.735,0.525,0.571,Low Graduation
08X348,X348,Schuylerville Preparatory High School,High School,Bronx,360,5.27,0.333,5.603,0.781,0.684,0.367,0.087,68.9,58.8,0.058,0.283,0.558,0.083,0.018,98,98,98,281,30,201,102,21,6,3.1,2.641,2.339,0.962,0.833,0.462,0.144,0.225,0.103,0.694,0.786,0.538,Low Graduation
08X349,X349,Bronx River High School,High School,Bronx,425,6.862,0.359,7.221,0.854,0.8,0.411,0.195,69.4,63.7,0.054,0.228,0.638,0.054,0.026,95,95,95,363,23,271,97,23,11,6.1,2.532,2.344,0.968,0.823,0.441,0.162,0.249,0.139,0.751,0.706,0.559,Low Graduation
08X367,X367,"Archimedes Academy for Math, Science and Technolog",High School,Bronx,358,9.624,1.098,10.722,0.839,0.649,0.415,0.457,73.1,65.3,0.087,0.254,0.631,0.02,0.008,94,94,94,300,7,226,91,31,3,12.1,2.588,2.337,0.962,0.847,0.488,0.128,0.282,0.193,0.737,0.804,0.512,Low Graduation
08X376,X376,Antonia Pantoja Preparatory Academy: A College Boa,High School,Bronx,233,6.905,0.525,7.429,0.873,0.672,0.344,0.254,70.5,62.0,0.077,0.197,0.691,0.013,0.022,61,61,61,203,3,161,46,18,5,4.5,2.554,2.095,0.947,0.826,0.423,0.155,0.305,0.223,0.773,0.971,0.577,Low Graduation
08X405,X405,Herbert H. Lehman High School,High School,Bronx,794,14.361,1.183,15.544,0.804,0.681,0.462,0.33,70.7,62.2,0.144,0.27,0.476,0.093,0.017,182,182,182,638,74,378,214,114,13,4.0,2.758,2.523,0.955,0.852,0.564,0.128,0.247,0.113,0.724,0.677,0.436,Low Graduation
08X432,X432,Bronx Bridges High School,High School,Bronx,329,5.977,0.464,6.441,0.976,0.758,0.274,0.232,63.2,66.3,0.128,0.046,0.766,0.036,0.024,95,95,95,321,12,252,15,42,8,4.9,1.963,1.968,0.978,0.845,0.443,0.839,0.116,0.261,0.802,0.2,0.557,Low Graduation
08X452,X452,Gotham Collaborative High School,High School,Bronx,532,9.601,0.911,10.512,0.913,0.581,0.219,0.244,64.7,55.3,0.092,0.305,0.585,0.009,0.009,160,160,160,486,5,311,162,49,5,2.1,2.454,2.149,0.967,0.797,0.433,0.154,0.263,0.207,0.838,0.765,0.567,Low Graduation
08X530,X530,Longwood Preparatory Academy,High School,Bronx,342,7.596,0.691,8.287,0.912,0.697,0.303,0.224,61.7,60.8,0.009,0.345,0.623,0.012,0.011,76,76,76,312,4,213,118,3,4,3.5,2.393,2.069,0.963,0.825,0.483,0.175,0.292,0.222,0.833,0.485,0.517,Low Graduation
08X558,X558,Westchester Square Academy,High School,Bronx,554,8.215,0.549,8.764,0.754,0.745,0.497,0.366,71.3,61.4,0.065,0.244,0.569,0.112,0.01,149,149,149,418,62,315,135,36,6,3.0,2.78,2.508,0.962,0.816,0.501,0.096,0.206,0.121,0.65,0.425,0.499,Low Graduation
08X559,X559,School for Tourism and Hospitality,High School,Bronx,299,5.292,0.438,5.73,0.94,0.39,0.171,0.062,58.8,54.9,0.007,0.308,0.656,0.02,0.009,105,105,105,281,6,196,92,2,3,2.2,2.391,2.095,0.952,0.7,0.282,0.247,0.294,0.291,0.849,0.808,0.718,Low Graduation
08X561,X561,Bronx Compass High School,High School,Bronx,381,6.451,0.522,6.974,0.871,0.802,0.406,0.163,70.2,60.9,0.042,0.281,0.638,0.021,0.018,101,101,101,332,8,243,107,16,7,2.5,2.655,2.399,0.96,0.836,0.441,0.108,0.234,0.178,0.793,0.588,0.559,Medium Graduation
09X227,X227,Bronx Collegiate Academy,High School,Bronx,388,7.156,0.496,7.652,0.939,0.842,0.485,0.198,62.1,61.7,0.034,0.232,0.719,0.01,0.005,101,101,101,364,4,279,90,13,2,8.4,2.569,2.248,0.957,0.845,0.618,0.191,0.219,0.175,0.871,0.75,0.382,Medium Graduation
09X231,X231,Eagle Academy for Young Men,High School,Bronx,291,7.649,0.578,8.227,0.804,0.712,0.348,0.311,72.5,59.9,0.007,0.55,0.405,0.017,0.021,66,66,66,234,5,118,160,2,6,3.8,2.49,2.481,0.952,0.896,0.745,0.052,0.234,0.107,0.701,0.657,0.255,Low Graduation
09X241,X241,Urban Assembly School for Applied Math and Science,High School,Bronx,334,8.861,0.688,9.549,0.895,0.707,0.5,0.323,73.5,66.3,0.0,0.32,0.668,0.006,0.006,82,82,82,299,2,223,107,0,2,0.9,2.602,2.778,0.969,0.852,0.564,0.114,0.296,0.117,0.802,0.518,0.436,Low Graduation
09X250,X250,Eximius College Preparatory Academy: A College Boa,High School,Bronx,430,6.1,0.395,6.495,0.865,0.8,0.435,0.322,76.7,69.5,0.009,0.321,0.653,0.0,0.017,115,115,115,372,0,281,138,4,7,7.9,2.771,2.521,0.964,0.885,0.606,0.086,0.256,0.147,0.772,0.667,0.394,Low Graduation
09X252,X252,Mott Hall Bronx High School,High School,Bronx,379,4.937,0.38,5.317,0.902,0.814,0.539,0.485,77.1,62.8,0.0,0.261,0.715,0.011,0.013,102,102,102,342,4,271,99,0,5,7.7,2.68,2.469,0.965,0.836,0.505,0.111,0.227,0.127,0.805,0.643,0.495,Medium Graduation
09X260,X260,Bronx Center for Science and Mathematics,High School,Bronx,448,6.317,0.422,6.739,0.831,0.901,0.809,0.645,82.6,71.7,0.067,0.205,0.676,0.029,0.023,111,110,110,372,13,303,92,30,10,14.1,3.049,2.965,0.97,0.911,0.719,0.058,0.234,0.112,0.719,0.844,0.281,Medium Graduation
09X263,X263,Validus Preparatory Academy,High School,Bronx,361,5.578,0.391,5.97,0.923,0.694,0.408,0.25,74.7,60.2,0.006,0.316,0.665,0.006,0.007,98,98,98,333,2,240,114,2,3,5.0,2.533,2.275,0.972,0.833,0.477,0.152,0.277,0.205,0.856,0.846,0.523,Low Graduation
09X297,X297,Morris Academy for Collaborative Studies,High School,Bronx,409,7.003,0.502,7.505,0.908,0.81,0.464,0.262,69.0,64.3,0.017,0.269,0.694,0.017,0.003,84,84,84,371,7,284,110,7,1,6.6,2.543,2.251,0.967,0.852,0.608,0.171,0.279,0.156,0.814,0.676,0.392,Medium Graduation
09X324,X324,Bronx Early College Academy for Teaching & Learnin,High School,Bronx,272,7.476,0.633,8.11,0.865,1.0,0.81,1.0,77.8,71.4,0.044,0.268,0.662,0.015,0.011,63,63,63,235,4,180,73,12,3,7.9,3.065,2.873,0.966,0.9,0.736,0.074,0.154,0.107,0.776,0.583,0.264,High Graduation
09X327,X327,Comprehensive Model School Project M.S. 327,High School,Bronx,433,9.313,0.938,10.251,0.905,0.876,0.694,0.463,74.0,73.0,0.002,0.206,0.778,0.014,0.0,121,121,121,392,6,337,89,1,0,4.9,2.882,3.092,0.964,0.855,0.487,0.115,0.293,0.152,0.822,0.769,0.513,Medium Graduation
09X329,X329,DreamYard Preparatory School,High School,Bronx,271,4.643,0.293,4.936,0.949,0.714,0.429,0.317,68.2,60.7,0.007,0.273,0.694,0.018,0.008,63,63,63,257,5,188,74,2,2,7.2,2.498,2.272,0.965,0.846,0.523,0.225,0.247,0.269,0.856,0.652,0.477,Low Graduation
09X365,X365,Academy for Language and Technology,High School,Bronx,324,4.548,0.4,4.948,0.986,0.986,0.397,0.973,72.0,68.8,0.0,0.0,1.0,0.0,0.0,73,73,73,319,0,324,0,0,0,5.7,1.929,2.117,0.975,0.89,0.641,0.731,0.071,0.645,0.821,0.32,0.359,High Graduation
09X403,X403,Bronx International High School,High School,Bronx,418,6.585,0.745,7.329,0.989,0.755,0.404,0.367,66.2,66.49,0.029,0.127,0.809,0.031,0.004,94,94,94,413,13,338,53,12,2,13.1,1.843,1.965,0.936,0.796,0.451,0.914,0.038,0.383,0.804,0.774,0.549,Low Graduation
09X404,X404,School for Excellence,High School,Bronx,326,5.533,0.389,5.922,0.924,0.617,0.287,0.101,68.3,61.1,0.009,0.285,0.681,0.012,0.013,94,94,94,301,4,222,93,3,4,2.7,2.325,2.04,0.963,0.737,0.347,0.27,0.279,0.221,0.862,0.957,0.653,Low Graduation
09X412,X412,Bronx High School of Business,High School,Bronx,275,6.887,0.466,7.354,0.963,0.672,0.414,0.172,61.7,62.6,0.022,0.2,0.738,0.022,0.018,58,58,58,265,6,203,55,6,5,2.7,2.362,2.093,0.957,0.83,0.577,0.382,0.229,0.269,0.873,0.577,0.423,Low Graduation
09X413,X413,Bronx High School for Medical Science,High School,Bronx,267,7.217,0.371,7.588,0.89,0.851,0.672,0.552,75.6,73.6,0.071,0.243,0.637,0.026,0.023,67,67,67,238,7,170,65,19,6,17.1,3.055,2.981,0.974,0.925,0.788,0.079,0.199,0.071,0.809,0.706,0.212,Medium Graduation
09X505,X505,"Bronx School for Law, Government and Justice",High School,Bronx,477,10.685,0.725,11.409,0.852,0.822,0.581,0.337,75.0,62.3,0.015,0.245,0.723,0.013,0.004,129,129,129,406,6,345,117,7,2,4.0,3.101,2.762,0.962,0.895,0.652,0.082,0.205,0.13,0.746,0.7,0.348,Medium Graduation
09X517,X517,Frederick Douglass Academy III Secondary School,High School,Bronx,408,6.225,0.398,6.623,0.923,0.72,0.411,0.262,67.1,63.4,0.012,0.434,0.522,0.017,0.015,107,107,107,377,7,213,177,5,6,3.7,2.349,2.075,0.973,0.766,0.395,0.203,0.257,0.265,0.846,0.625,0.605,Low Graduation
09X525,X525,Bronx Leadership Academy High School,High School,Bronx,565,8.655,0.725,9.38,0.937,0.62,0.254,0.13,62.2,58.4,0.005,0.296,0.667,0.014,0.018,142,142,142,529,8,377,167,3,10,0.4,2.388,2.077,0.954,0.792,0.4,0.198,0.271,0.211,0.858,0.442,0.6,Low Graduation
09X543,X543,High School for Violin and Dance,High School,Bronx,253,3.893,0.329,4.222,0.932,0.633,0.333,0.1,67.0,56.5,0.004,0.348,0.628,0.016,0.004,60,60,60,236,4,159,88,1,1,8.4,2.401,2.126,0.957,0.765,0.417,0.178,0.316,0.233,0.854,0.875,0.583,Low Graduation
09X564,X564,Claremont International HS,High School,Bronx,361,5.442,0.393,5.835,0.986,0.831,0.41,0.434,59.6,65.1,0.089,0.188,0.679,0.044,0.0,83,83,83,356,16,245,68,32,0,7.1,1.836,1.963,0.96,0.858,0.624,0.845,0.072,0.454,0.831,0.889,0.376,Medium Graduation
09X568,X568,Young Women's Leadership School of the Bronx,High School,Bronx,285,7.211,0.479,7.691,0.803,0.953,0.734,0.547,83.4,70.5,0.028,0.358,0.572,0.011,0.031,64,64,64,229,3,163,102,8,9,6.9,3.071,3.055,0.96,0.893,0.64,0.046,0.186,0.049,0.681,0.61,0.36,High Graduation
10X141,X141,Riverdale / Kingsbridge Academy (Middle School / H,High School,Bronx,728,19.064,0.316,19.38,0.507,0.919,0.75,0.619,81.8,69.6,0.076,0.102,0.573,0.242,0.007,160,160,160,369,176,417,74,55,5,12.1,2.928,2.992,0.967,0.924,0.791,0.077,0.206,0.084,0.42,0.85,0.209,Medium Graduation
10X213,X213,Bronx Engineering and Technology Academy,High School,Bronx,377,6.431,0.439,6.871,0.873,0.724,0.327,0.393,68.2,57.6,0.045,0.284,0.639,0.024,0.008,98,98,98,329,9,241,107,17,3,1.2,2.574,2.435,0.955,0.788,0.475,0.188,0.244,0.18,0.753,0.929,0.525,Low Graduation
10X225,X225,Theatre Arts Production Company School,High School,Bronx,348,8.745,0.483,9.228,0.868,0.841,0.512,0.25,75.0,59.2,0.023,0.253,0.707,0.017,0.0,82,82,82,302,6,246,88,8,0,7.4,2.715,2.43,0.97,0.837,0.528,0.075,0.25,0.141,0.773,0.66,0.472,Medium Graduation
10X237,X237,"The Marie Curie School for Medicine, Nursing, and",High School,Bronx,430,6.617,0.411,7.027,0.857,0.7,0.35,0.313,67.3,62.9,0.033,0.288,0.623,0.037,0.019,120,120,120,369,16,268,124,14,8,15.1,2.643,2.331,0.957,0.79,0.394,0.128,0.235,0.177,0.751,0.765,0.606,Low Graduation
10X243,X243,West Bronx Academy for the Future,High School,Bronx,327,9.262,0.858,10.12,0.925,0.8,0.5,0.514,76.0,63.3,0.031,0.162,0.783,0.021,0.003,70,70,70,302,7,256,53,10,1,15.1,2.672,2.468,0.967,0.858,0.666,0.107,0.26,0.171,0.835,0.74,0.334,Low Graduation
10X264,X264,Bronx Academy for Software Engineering (BASE),High School,Bronx,419,6.983,0.407,7.39,0.797,0.697,0.485,0.247,73.2,60.8,0.06,0.27,0.616,0.033,0.021,99,99,99,334,14,258,113,25,9,6.1,2.743,2.643,0.991,0.849,0.593,0.091,0.279,0.119,0.673,0.711,0.407,Low Graduation
10X268,X268,Kingsbridge International High School,High School,Bronx,491,6.917,0.642,7.559,0.983,0.634,0.239,0.243,55.1,62.1,0.033,0.033,0.902,0.026,0.006,142,142,142,483,13,443,16,16,3,2.5,1.828,1.957,0.96,0.859,0.546,0.872,0.045,0.411,0.811,0.75,0.454,Low Graduation
10X284,X284,Bronx School of Law and Finance,High School,Bronx,369,6.172,0.755,6.927,0.892,0.788,0.165,0.234,63.4,60.0,0.011,0.22,0.724,0.033,0.012,80,79,79,329,12,267,81,4,4,7.1,2.549,2.337,0.955,0.786,0.396,0.217,0.214,0.206,0.799,0.92,0.604,Low Graduation
10X342,X342,International School for Liberal Arts,High School,Bronx,371,8.136,0.702,8.838,0.976,0.65,0.32,0.354,63.5,67.9,0.0,0.003,0.997,0.0,0.0,103,103,103,362,0,370,1,0,0,7.4,2.285,2.23,0.975,0.907,0.732,0.687,0.081,0.375,0.814,0.773,0.268,Low Graduation
